plume-data-deletion.ql,SLOC,Label,Post-discussion labels,
is_user_data,4,marker,marker,
is_user_data_direct,4,marker,marker,
is_delete,2,marker,marker,
is_db_method,1,marker,marker,
SourceSinkCallConfig::isSource,1,marker,policy,unused
SourceSinkCallConfig::isSink,1,marker,policy,unused
is_root,1,primitive,primitive,"unused but should be used instead of matching the ""deleteUserController"" and but would be this"
reachable_from_root,9,primitive,primitive,"unused but should be used instead of matching the ""deleteUserController"" and but would be this"
AllConfig::isSource,1,marker,policy,
AllConfig::isSink,1,marker,policy,
is_delete_2,5,marker,marker,
<clause>,10,policy,policy,"some of this is marker too, for instance the ""refersTo"""
,,,,
lemmy-instance.ql,SLOC,Label,,
is_db_access,6,marker,marker,
is_user_read,1,marker,marker,
is_delete_check,1,marker,marker,
isLocalUserViewPersonDeleted,8,marker,marker,
is_ban_check,1,marker,marker,
isLocalUserViewPersonBanned,8,marker,marker,
controlsExec,5,primitive,primitive,
FlowConfig::isSink,1,marker,policy,
FlowConfig::isSource,1,marker,policy,
<clause>,9,policy,policy,
,,,,
atomic.ql,SLOC,Label,,
is_resource,1,marker,marker,
is_commit,2,marker,marker,
is_check_rights,1,marker,marker,
is_sink,1,marker,marker,
AllFlowsConfig::isSource,1,marker,policy,
AllFlowsConfig::isSink,1,marker,policy,
AllFlowsConfig::isAdditionalFlowStep,6,model,model,
controlsExec,5,primitive,primitive,
<clause>,7,policy,policy,
