file,predicate,sloc,label
plume-data-deletion.ql,is_user_data,4,marker
plume-data-deletion.ql,is_user_data_direct,4,marker
plume-data-deletion.ql,is_delete,2,marker
plume-data-deletion.ql,is_db_method,1,marker
plume-data-deletion.ql,SourceSinkCallConfig::isSource,1,policy
plume-data-deletion.ql,SourceSinkCallConfig::isSink,1,policy
plume-data-deletion.ql,is_root,1,marker
plume-data-deletion.ql,reachable_from_root,9,primitive
plume-data-deletion.ql,AllConfig::isSource,1,policy
plume-data-deletion.ql,AllConfig::isSink,1,policy
plume-data-deletion.ql,is_delete_2,5,marker
plume-data-deletion.ql,<clause>,10,policy
,,,
lemmy-instance.ql,is_db_access,6,marker
lemmy-instance.ql,is_user_read,1,marker
lemmy-instance.ql,is_delete_check,1,marker
lemmy-instance.ql,isLocalUserViewPersonDeleted,8,marker
lemmy-instance.ql,is_ban_check,1,marker
lemmy-instance.ql,isLocalUserViewPersonBanned,8,marker
lemmy-instance.ql,controlsExec,5,primitive
lemmy-instance.ql,FlowConfig::isSink,1,policy
lemmy-instance.ql,FlowConfig::isSource,1,policy
lemmy-instance.ql,<clause>,9,policy
,,,
atomic.ql,is_resource,1,marker
atomic.ql,is_commit,2,marker
atomic.ql,is_check_rights,1,marker
atomic.ql,is_sink,1,marker
atomic.ql,AllFlowsConfig::isSource,1,policy
atomic.ql,AllFlowsConfig::isSink,1,policy
atomic.ql,AllFlowsConfig::isAdditionalFlowStep,6,model
atomic.ql,controlsExec,5,primitive
atomic.ql,<clause>,7,policy
,,,
websubmit/Basics.qll,is_sensitive,9,marker
websubmit/Basics.qll,contains_sensitive_type,4,marker
websubmit/Basics.qll,is_store_function,5,marker
websubmit/Basics.qll,is_store_function,1,marker
websubmit/Basics.qll,StoreTaintConfig::isSource,1,policy
websubmit/Basics.qll,StoreTaintConfig::isSink,1,policy
websubmit/Basics.qll,AllFlowsConfig::isSource,1,policy
websubmit/Basics.qll,AllFlowsConfig::isSink,1,policy
websubmit/Basics.qll,AllFlowsConfig::isAdditionalFlowStep,3,model
,,,
websubmit/deletion.ql,is_delete,1,marker
websubmit/deletion.ql,DeleteTaintConfig::isSource,1,policy
websubmit/deletion.ql,DeleteTaintConfig::isSink,1,policy
websubmit/deletion.ql,FlowNodesFromDeleteConfig::isSource,1,marker
websubmit/deletion.ql,FlowNodesFromDeleteConfig::isSink,1,policy
websubmit/deletion.ql,<clause>,5,policy
,,,
websubmit/disclosure.ql,safe_source_with_bless,8,marker
websubmit/disclosure.ql,bless_safe_source,5,marker
websubmit/disclosure.ql,email_call,6,marker
websubmit/disclosure.ql,SinkFlowConfig::isSource,1,policy
websubmit/disclosure.ql,SinkFlowConfig::isSink,1,policy
websubmit/disclosure.ql,SinkFlowConfig::isAdditionalFlowStep,21,model
websubmit/disclosure.ql,is_scope,1,marker
websubmit/disclosure.ql,is_external_sink,1,marker
websubmit/disclosure.ql,is_sensitive_node,5,marker
websubmit/disclosure.ql,<clause>,7,policy
,,,
websubmit/scoped-storage.ql,<clause>,5,policy
,,,
mcaptcha/deletion.ql,FlowConfig::isSink,1,policy
mcaptcha/deletion.ql,FlowConfig::isSource,1,policy
mcaptcha/deletion.ql,FlowConfig::isAdditionalFlowStep,10,model
mcaptcha/deletion.ql,is_sensitive,1,marker
mcaptcha/deletion.ql,is_delete,4,marker
mcaptcha/deletion.ql,<clause>,11,policy
,,,
mcaptcha/limited-collection.ql,controlsExec,5,primitive
mcaptcha/limited-collection.ql,is_store,1,marker
mcaptcha/limited-collection.ql,is_site_key,6,marker
mcaptcha/limited-collection.ql,is_auth_check_call,1,marker
mcaptcha/limited-collection.ql,FlowConfig::isSink,1,policy
mcaptcha/limited-collection.ql,FlowConfig::isSource,1,policy
mcaptcha/limited-collection.ql,<clause>,13,policy
,,,
freedit/Common.qll,is_pageview,1,marker
freedit/Common.qll,is_current_time,5,marker
,,,
freedit/expire.qll,is_expiration_check,11,marker
freedit/expire.qll,is_removed,4,marker
freedit/expire.qll,FlowConfig::isSource,1,policy
freedit/expire.qll,FlowConfig::isSink,1,policy
freedit/expire.qll,<clause>,10,policy
,,,
freedit/store.ql,is_store,3,marker
freedit/store.ql,FlowConfig::isSource,1,policy
freedit/store.ql,FlowConfig::isSink,1,policy
freedit/store.ql,<clause>,6,policy
